id,notificationId,tagId,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
33,33,2,'2023-02-18 03:00:00.366877+09:00','2023-02-18 03:00:00.366877+09:00',None,None,None,None,None
34,34,2,'2023-02-19 03:00:00.404533+09:00','2023-02-19 03:00:00.404533+09:00',None,None,None,None,None
35,35,2,'2023-02-20 03:00:00.415457+09:00','2023-02-20 03:00:00.415457+09:00',None,None,None,None,None
36,36,2,'2023-02-21 03:00:00.378114+09:00','2023-02-21 03:00:00.378114+09:00',None,None,None,None,None
37,37,2,'2023-02-22 03:00:00.405400+09:00','2023-02-22 03:00:00.405400+09:00',None,None,None,None,None
38,38,2,'2023-02-23 03:00:00.385364+09:00','2023-02-23 03:00:00.385364+09:00',None,None,None,None,None
39,39,2,'2023-02-24 03:00:00.352263+09:00','2023-02-24 03:00:00.352263+09:00',None,None,None,None,None
40,40,2,'2023-02-25 03:00:00.430614+09:00','2023-02-25 03:00:00.430614+09:00',None,None,None,None,None
41,41,2,'2023-02-26 03:00:00.366632+09:00','2023-02-26 03:00:00.366632+09:00',None,None,None,None,None
42,42,2,'2023-02-27 03:00:00.449210+09:00','2023-02-27 03:00:00.449210+09:00',None,None,None,None,None
43,43,2,'2023-02-28 03:00:00.364164+09:00','2023-02-28 03:00:00.364164+09:00',None,None,None,None,None
