id,autoGeneratedCode,title,content,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
33,'0000000001','Closing bookings','There are some bookings that can't closing','2023-02-18 03:00:00.377509+09:00','2023-02-18 03:00:00.377509+09:00',None,'pms',None,None,None
34,'0000000002','Closing bookings','There are some bookings that can't closing','2023-02-19 03:00:00.409257+09:00','2023-02-19 03:00:00.409257+09:00',None,'pms',None,None,None
35,'0000000003','Closing bookings','There are some bookings that can't closing','2023-02-20 03:00:00.420199+09:00','2023-02-20 03:00:00.420199+09:00',None,'pms',None,None,None
36,'0000000004','Closing bookings','There are some bookings that can't closing','2023-02-21 03:00:00.383104+09:00','2023-02-21 03:00:00.383104+09:00',None,'pms',None,None,None
37,'0000000005','Closing bookings','There are some bookings that can't closing','2023-02-22 03:00:00.410110+09:00','2023-02-22 03:00:00.410110+09:00',None,'pms',None,None,None
38,'0000000006','Closing bookings','There are some bookings that can't closing','2023-02-23 03:00:00.390340+09:00','2023-02-23 03:00:00.390340+09:00',None,'pms',None,None,None
39,'0000000007','Closing bookings','There are some bookings that can't closing','2023-02-24 03:00:00.356828+09:00','2023-02-24 03:00:00.356828+09:00',None,'pms',None,None,None
40,'0000000008','Closing bookings','There are some bookings that can't closing','2023-02-25 03:00:00.436475+09:00','2023-02-25 03:00:00.436475+09:00',None,'pms',None,None,None
41,'0000000009','Closing bookings','There are some bookings that can't closing','2023-02-26 03:00:00.371113+09:00','2023-02-26 03:00:00.371113+09:00',None,'pms',None,None,None
42,'0000000010','Closing bookings','There are some bookings that can't closing','2023-02-27 03:00:00.455276+09:00','2023-02-27 03:00:00.455276+09:00',None,'pms',None,None,None
43,'0000000011','Closing bookings','There are some bookings that can't closing','2023-02-28 03:00:00.368997+09:00','2023-02-28 03:00:00.368997+09:00',None,'pms',None,None,None
